,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
16985,29-96-85,images/593993_800.jpg,Great Plains Culture Area,Indian,19th Century,"Bronze-colored satin mashru (silk warp; cotton weft) embroidered with zardozi work (metal thread embroidery), floss silk, glass beads, and beetle wing casings. The composition, scale, and subject matter of a centralized tree in an arched niche of this hanging recall the tradition of elaborately worked zardozi qanat (tent hangings) in Mughal courts. However, this is likely a later example, perhaps made for the European export market in the late nineteenth or early twentieth century when there was a fashion for ornate beetle wing embroideries. Beetle wing embroideries for European export during the colonial period were mostly produced in Chennai (Madras) and Calcutta; however, this type of zardozi work could have been produced in many different centers for zardozi work, including Agra, Delhi, Hyderabad, Jaipur, Lahore, Lucknow, Surat, and Varanasi (Benares). Backed with red cotton. Related objects in the Penn Museum: 29-96-83, 29-96-84, and 29-96-216 (a near-exact match).",Satin | Beetle Wings | Silk | Cotton | Glass | Sequin,Wall Hanging,19th Century,India,Asian
16986,20340,images/467552_800.jpg,Southwest Culture Area,Pueblo | Acoma,1890-1910,Floral Design; Stem Broken,Clay | Pigment,Rattle,Historic,New Mexico | Acoma Pueblo,American
16987,20339,images/467553_800.jpg,Southwest Culture Area,Pueblo | Acoma,1890-1910,Red  & White; Geometric Design,Clay | Seed | Pigment,Rattle,Historic,New Mexico | Acoma Pueblo,American
17003,29-114-54,images/763277_800.jpg,Northeast Culture Area,Woodland,3/4,Fine grained smooth green; 3/4 grooved; sharp chipped edge.,Diorite,Axe,Late Archaic,Eastern United States,American
17012,46-6-226,images/630474_800.jpg,Southeast Culture Area,Cherokee,one,Grey flint. Triangular with nearly straight base; serrated edges,Flint,Projectile Point,Mousterian,United States of America | North Carolina,American
17013,32-25-143,images/458054_800.jpg,Southwest Culture Area,Basket Maker (uncertain),32-25,Crushed Yucca leaf. Similar to 32-25-131.,Yucca,Sandal Fragment,Mousterian,United States of America | New Mexico | Lincoln National Forest | Eddy County | Last Chance Canyon | Near Carlsbad,American
17014,29-44-33,images/489703_800.jpg,Southwest Culture Area,Cliff Dweller,one,Smoothing or polishing stone. Flat on one side.,Stone,Stone,Mousterian,Southeastern Utah | Canyon | Lost Canyon,American
17041,49-4-28,images/103570_800.jpg,Central American,Maya,two,"household ware, red brown exterior and interior, globular with constricted neck, four strap handles from rimm to shoulder with grotesque applied face on side between two of them, coffee bean eyes",Ceramic,Pot,Roman Period,Guatemala | Department of Quiche | Nebaj,American
17048,45-15-119,images/451601_800.jpg,Southwest Culture Area,Pueblo | Laguna,1880-1890,"Globular bowl, exterior red and black on white, interior red.",Clay,Bowl<br/><br/>Toy,Historic,New Mexico | Laguna,American
17057,38191,images/154014_800.jpg,Great Basin Culture Area,Southern Ute,5,No description available,Buffalo Hide | Bead,Saddle Blanket,Joseon Dynasty,Great Basin (Culture Area),American
17063,NA5775A,images/27858_800.jpg,Northwest Coast Culture Area,Tlingit (uncertain),One,One of a pair of shark tooth ear pendants with serrated edges. A perforation is made at the root end of the tooth and a cotton cord is strung through.,Shark Tooth | Cotton,Ear Pendant,Iron Age | Hallstatt I | Bylany Phase,Alaska (uncertain),American
17064,NA5701,images/854480_800.jpg,Northwest Coast Culture Area,Tlingit,one,Spear point made of bone with three barbs on one side. Perforated at one end for attachment to a spear shaft.,Bone,Fish Spear<br/><br/>Spear Point,Mousterian,Alaska,American
17065,NA5691,images/854486_800.jpg,Northwest Coast Culture Area,Chilkat | Tlingit,10,Braided hide.,Hide,Rope,Babylonian,Alaska,American
17068,73-11-10A,images/748127_800.jpg,Great Plains Culture Area,Indian,six,Set of one bamboo quiver and six bamboo arrows with metal points.,Bamboo | Plant Fiber,Quiver,Hasanlu Period IV,India | Assam,Asian
17069,32-25-162,images/118622_800.jpg,Southwest Culture Area,Basket Maker (uncertain),one,"Roughly quadrangular scraper with one jagged, roughly chipped cutting edge. Thick in the center. Worked bifacially and the cutting edge is retouched. Brown stone.",Chert,Scraper,Mousterian,United States of America | New Mexico | Lincoln National Forest | Eddy County | Last Chance Canyon | Near Carlsbad,American
17076,83-42-14,images/731657_800.jpg,Northeast Culture Area,Ojibwa,1901,Made of leather and slate. Thong and point.,Leather | Slate,Charm (uncertain),Qing Dynasty | 20th Century,North America | Canada | Manitoba,American
17078,NA565,images/27063_800.jpg,Arctic Culture Area,Eskimo,Two,Man's tool box.,Wood | Ivory,Tool Box,Birnirk,Alaska | King Island,American
17080,NA2279,images/441018_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Red Corrugated,Clay,Cooking Jar,Cypro-Geometric IA,United States of America | Arizona | Apache County | St. Johns,American
17081,45-15-1443,images/869613_800.jpg,Great Plains Culture Area,Native American,1900-1986,"Wooden calumet with paired slits and brass tacks. Remains of wood-pecker feathers and horsehair, green ribbon attached.",Wood | Brass | Feather | Horsehair,Calumet<br/><br/>Peace Pipe,Birnirk,Great Plains (Plain),American
17084,31086,images/40774_800.jpg,Andean,Inca,600-1000,"With decorative painting but no handles. Similar to 31085Plate with a flaring body, no neck/collar, flattened rim, no handles, and a flat base. The plate is painted white on the top surface with geometric designs in red and brown/black through the center. There are two protrusions on either side of the rim. There appears to be a burnished finish on the exterior and a burnished finish on the interior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. The catalogue number is written on the bottom of the base and black ink on the bottom of the base reads: ""2380.""",Ceramic | Clay | Pigment,Plate,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
17085,29986,images/70417_800.jpg,Andean,Inca,two,"Apparently figured textile bands woven into warp rep. Finished below with plain borders of warp rep.Card catalogue identifies this as a poncho. It is constructed out of two webs seamed down the sides (under arm aperture) and down middle. Interesting vertical (going in the warp direction) stripes of alternating between solid brown or black with a zigzag (pointed flame?) design. These bands stop abruptly in the lower quadrant. Filled then with a tan slit tapestry weave. Small twisted fringe. Color(s): Brown, red, rose, tan and black.",Wool,Poncho Fragment,Roman Period,Peru | Pachacamac | Gravefield I,American
17092,97-84-1727,images/871947_800.jpg,Great Plains Culture Area,Sioux,two,Bent wood circle with rawhide thong interwoven mesh. Painted in parts.,Wood | Rawhide,Hoop,Roman Period,United States of America | South Dakota | White River,American
17093,45-15-1293,images/519986_800.jpg,Northwest Coast Culture Area,Haida,5,"Rocky Mountain goat horn handle and Rocky Mountain sheep horn bowl. Figures: humanized bear's head, frog with tongue to hawk's head. Human figure with hands behind back and prominent vertebral column, and an insect forming the tip.",Mountain Goat Horn,Spoon,Joseon Dynasty,Canada | British Columbia | Queen Charlotte Islands,American
17103,86-39-6,images/469413_800.jpg,Southwest Culture Area,Apache,97,Leather with geometric beaded design and beaded fringe.,Leather | Glass,Pouch,Mousterian,New Mexico | Arizona,American
17105,31486,images/57220_800.jpg,Andean,Inca,4,"Thick, heavy weaveThis heavy thick belt is roughly 140 x 7.5cm long (not including the approximately 84 and 91cm long cords). End to end the textile would be if laid out flat approx. 315 cm. The 43 cm middle section of the belt is comprised of 13 fiber wrapped cords of twisted (z-spun) fibers. These wrapped cords taper down to 7 cords as they transition into the next patterned areas. On either side of the middle coiled area, 50cm sections are thickly woven into a repetitive animal motif (llamas). These two areas appear to be a type of ""double cloth"" and the reverse of the pattern and color are the opposite on the verso. At either end are black plied cords terminating in 4 cord tassels. Color(s): Tan, red and black. Animal patterned area (llamas) is in tan and red. Cords at each side are black with a red, tan and black tassel. .",Cotton,Belt,Upper Paleolithic,Peru | Sun Temple | Pachacamac,American
17106,45-15-674,images/867835_800.jpg,Great Plains Culture Area,Plains Indian,three,Copper bands with punched designs: four groups of three bosses with vertical incised lines between.,Copper,Bracelet,Bronze Age,Southern Plains (uncertain),American
17108,66-34-41,images/512248_800.jpg,Central American,Mam,four,"Dark green, plain weave, cotton cloth. White pin stripes throughout entire cloth. Opposite ends have three bands of red and yellow stripes alternating with white zigzag designs. All design elenents brocaded with cotton thread.As per Sigrid Meier, ""Warp: 26 epi, two singles, Z twist, green cotton. Weft: 28 ppi, two singles, Z twist, green cotton with four singles, Z twist, white cotton pin stripes. Balanced plain weave. Supplementary weft is single faced. One panel, four slevedges. Woven on a backstrap loom.""",Cotton,Utility Cloth<br/><br/>Tzute,Geometric Period,Guatemala | Tecpan | Department of Chimaltenango,American
17114,29-44-104,images/458242_800.jpg,Southwest Culture Area,Cliff Dweller,one,groove entirely encircling axe. Attached to handle made of a strong pliable wood bent around the groove and the ends secured with yucca cord.,Stone | Wood | Yucca,Axe,Mousterian,United States of America | Southeastern Utah,American
17115,29-158-52,images/706047_800.jpg,Arctic Culture Area,Eskimo,Two,Uck clar = Black Bear/Evil Spirit. Middle figures are young uck clar.,String,Uck clar = Black Bear/Evil Spirit,Birnirk,United States of America (uncertain) | Siberia (uncertain) | Alaska (uncertain),American
17117,97-84-1436A,images/863739_800.jpg,Great Plains Culture Area,Sioux,three,Tomahawk pipe bowl.  Squared metal bowl with three holes drilled through the blade.,Metal,Pipe Bowl,Bronze Age,United States of America | South Dakota | White River (uncertain) | Porcupine Creek (uncertain) | Sioux River (uncertain),American
17128,23350,images/487739_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Little Colorado Black-on-White Ware sherd. Exterior undecorated, interior decorated with diagonal hatching elements. Small drill hole visible at one side.",Clay | Pigment,Sherd,Prehistoric,Colorado | Little Colorado Culture Area,American
17129,23349,images/487738_800.jpg,Southwest Culture Area,Cliff Dweller,1,Chaco Canyon Black-on-White Ware sherd; catalogued with 23348 (1 sherd). Faded decoration on both the interior and exterior.,Clay | Pigment,Bowl Sherd,Late Minoan I,Colorado | San Juan Culture Area,American
17133,NA2679,images/475713_800.jpg,Southwest Culture Area,Apache,97,Large olla basket. Mixture of black geometric designs alongside anthropomorphic figures and animals.,Plant Fiber,Basket,Mousterian,Peru | Pachacamac | Gravefield I,American
17139,97-15-13,images/110939_800.jpg,Central American,Huichol,ca. 1995,"Two bright pink deer heads are in the upper portion.  Below are two reclining figures with antlers.  Right border has four humanoid figures, several deer heads, and insects.  Along left border are two figures and hummingbird.  Multicolored painting.",Beeswax | Yarn | Wood,Painting,Bronze Age,Western Mexico | Tepic | Comunidad Indigena de Zitakua | Nayarit,American
17150,NA1888,images/831999_800.jpg,Plateau Culture Area,Klamath | Lutuamian,+ 6/7,Trinket basket or bag.,Cattail Leaves | Grass,Basket<br/><br/>Bag,Birnirk,Oregon | Klamath Reservation,American
17164,29-44-212,images/490047_800.jpg,Southwest Culture Area,Pueblo,One,"Rectangular grinding stone. Both surfaces are flattened and smoothed, although the grinding surface is somewhat irregular and pitted. Carved from a porous brown stone with deep pits.",Stone,Mano Stone,Iron Age | Hallstatt I | Bylany Phase,Southwest Colorado,American
17174,38755,images/464931_800.jpg,Southwest Culture Area,Hopi,1973,natural color,Cotton | Pigment,Kilt,Late Minoan I,Arizona,American
17180,85-2-20,images/517150_800.jpg,Central American,Quiche,four,"Woman's belt with salmon weft. Red, cotton warp. Red fringes.As per Sigrid Meier, ""Warp: 44 epi, two singles, Z twist, red and black cotton. Weft: 21 ppi, four singles, Z twist, salmon cotton. Warp faced plain weave. Woven on a backstrap loom.""",Cotton,Belt<br/><br/>Faja,Geometric Period,Guatemala | Quezaltenango | Department of Quezaltenango,American
17181,85-2-19,images/506955_800.jpg,Central American,Quiche,2,"Indigo and white cotton ikat yarn, twisted for use as a belt.",Cotton,Yarn,Early Dynastic,Guatemala | Quezaltenango | Department of Quezaltenango,American
17194,31605,images/41466_800.jpg,Andean,Inca,1350-1500,"Striped pattern, brown tan & white",Cotton,Pouch,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
